1. A) Мухамеджан Сералин B) Ахмет Байтурсынов C) Миржакып Дулатов D) Алихан Букейханов | A
2. A) Развитие промышленности B) Мобилизация и экономия материальных ресурсов C) Поддержка частного бизнеса D) Введение рыночной экономики | B
3. A) 1785 год B) 1791 год C) 10 мая 1786 года D) 1782 год | C
4. A) 1820 год B) 1822 год C) 1824 год D) 1818 год | B
5. A) Степные воины B) Кочевники-всадники C) Туры с быстрыми конями D) Саки-тиграхауда | C
6. A) Экономическое развитие B) Военная подготовка C) Формирование национального самосознания и просвещение масс D) Борьба за независимость | C
7. A) Ахмет Байтурсынов B) Мухамеджан Сералин C) Алихан Букейханов D) Миржакып Дулатов | B
8. A) 1720-1727 год B) 1723-1725 год C) 1723-1727 D) 1718-1727 год | C
9. A) 15 марта 1992 года B) 5 октября 1992 года C) 29 марта 1994 года D) 10 декабря 1995 года | C
10. A) История Казахстана B) Евразийство: от идеи к практике C) Единство народов D) Международное сотрудничество | B
11. A) Усиление экономики B) Появились новые угрозы и возможности C) Рост населения D) Развитие промышленности | B
12. A) Национализация промышленности B) Введение продналога C) Отмена товарно-денежных отношений D) Развитие кооперации | C
13. A) Введение рыночной экономики B) Развитие свободной торговли C) Жесткий государственный контроль экономики D) Поддержка предпринимательства | C
14. A) Введение земельного налога B) Отмена частной собственности на землю C) Раздача земли крестьянам D) Создание колхозов | B
15. A) 60-е годы XVII века B) 70-е годы XVII века C) 80-е годы XVII века D) 70-е годы XVIII века | B
16. A) Упразднение ханской власти в Среднем жузе B) Передача казахской земли Российской Империи C) Упразднение ханской власти в Младшем жузе D) Упразднение ханской власти в Старшем жузе  | C
17. A) Ф. Голощекин B) И. Сталин C) Т. Рыскулов D) С. Пестковский | A
18. A) Начало XIV века B) Конец XIV века C) Вторая половина XV века D) Начало XVI века | C
19. A) Развитие экономики B) Пробуждение национального самосознания C) Военная мобилизация D) Создание армии | B
20. A) Введение частной собственности B) Полная оседлость C) Сохранение традиционного землепользования D) Переселение в города | C
21. A) В X веке B) В регионе кыпчаков не ранее XI века C) В IX веке D) В XII веке | B
22. A) Политическая борьба B) Экономическое развитие C) Сведения отсутствуют D) Культурное возрождение | C
23. A) Казахские ханы B) Российские губернаторы C) Султаны-правители из Пограничной комиссии D) Народные избранники | C
24. A) Ханская власть в Младшем жузе B) Ханская власть в Старшем жузе C) Ханская власть в Среднем жузе D) Система биев | C
25. A) Губернии, уезды, волости B) Округа, волости, аулы C) Области, районы, аулы D) Жузы, роды, аулы | B
26. A) Н.А. Назарбаев B) М.М. Сперанский C) Александр II D) П.К. Эссен | B
27. A) Джон Смит B) Артур Фелл C) Эрнест Карно D) Уильям Джонсон | B
28. A) Племя B) Народ, родоплеменная организация C) Государство D) Армия | B
29. A) Независимость Казахстана B) Создание советской власти C) Объединение тюрко-татарского племени, федеративное устройство России D) Монархическое правление | C
30. A) Алихан Букейханов, центр в Оренбурге B) Мукан Айтпенов, центр в Омске C) Ахмет Байтурсынов, центр в Кызылорде D) Кольбай Тогусов, центр в Семипалатинске | B
31. A) На китайских законах B) На российском праве C) На монгольском обычном праве D) На исламском шариате | C
32. A) Яса B) Билик C) Жарғы D) Заң | B
33. A) Шуро-и-Ислам, М. Шокай B) Алаш, А. Букейханов C) Шуро-и-Улема, С. Лапин D) Үш Жүз, К. Тогусов | C
34. A) Чингисхан B) Бачман C) Чжичжи D) Кучлук | B
35. A) Иван Чермнов B) Петр Годунов C) Третьяк Чебуков D) Андрей Курбский | C
36. A) Тобольск, 1587 год B) Тюмень, 1586 год C) Обский городок, 1585 год D) Томск, 1584 год | C
